Country,Year,Crop,Yield,Pesticides,Temperature,Pollution,Precipitation,Machinery
Albania,2004,Potato,14.9346,0.51,12.1,22.67592295,1518.797,0.33793799999999996
Albania,2004,Soybean,1.3333,0.51,12.1,22.67592295,1518.797,0.33793799999999996
Albania,2004,Wheat,3.113,0.51,12.1,22.67592295,1518.797,0.33793799999999996
Albania,2004,Rice,0,0.51,12.1,22.67592295,1518.797,0.33793799999999996
Albania,2005,Corn,4.5442,0.55,11.66,22.70812997,1505.5068,0.38
Albania,2005,Cassava,0,0.55,11.66,22.70812997,1505.5068,0.38
Albania,2005,Potato,16.7061,0.55,11.66,22.70812997,1505.5068,0.38
Albania,2005,Soybean,1.75,0.55,11.66,22.70812997,1505.5068,0.38
Albania,2005,Wheat,3.1582,0.55,11.66,22.70812997,1505.5068,0.38
Albania,2005,Rice,0,0.55,11.66,22.70812997,1505.5068,0.38
Albania,2006,Corn,5.0111,0.53,12.08,22.5109696,1110.4503,0.36
Albania,2006,Cassava,0,0.53,12.08,22.5109696,1110.4503,0.36
Albania,2006,Potato,17.0745,0.53,12.08,22.5109696,1110.4503,0.36
Albania,2006,Soybean,2,0.53,12.08,22.5109696,1110.4503,0.36
Albania,2006,Wheat,3.0786998,0.53,12.08,22.5109696,1110.4503,0.36
Albania,2006,Rice,0,0.53,12.08,22.5109696,1110.4503,0.36
Albania,2007,Corn,4.6731997,0.56,12.74,22.04122997,1092.2379,0.32943700000000004
Albania,2007,Cassava,0,0.56,12.74,22.04122997,1092.2379,0.32943700000000004
Albania,2007,Potato,18.8902,0.56,12.74,22.04122997,1092.2379,0.32943700000000004
Albania,2007,Soybean,2,0.56,12.74,22.04122997,1092.2379,0.32943700000000004
Albania,2007,Wheat,3.5496,0.56,12.74,22.04122997,1092.2379,0.32943700000000004
Albania,2007,Rice,0,0.56,12.74,22.04122997,1092.2379,0.32943700000000004
Albania,2008,Corn,5,0.57,12.84,21.48066857,1126.1652,0.33
Albania,2008,Cassava,0,0.57,12.84,21.48066857,1126.1652,0.33
Albania,2008,Potato,19.3878,0.57,12.84,21.48066857,1126.1652,0.33
Albania,2008,Soybean,2,0.57,12.84,21.48066857,1126.1652,0.33
Albania,2008,Wheat,4.0168,0.57,12.84,21.48066857,1126.1652,0.33
Albania,2008,Rice,0,0.57,12.84,21.48066857,1126.1652,0.33
Albania,2009,Corn,5.5692997,0.59,12.69,21.01104291,1534.6018,0.34
Albania,2009,Cassava,0,0.59,12.69,21.01104291,1534.6018,0.34
Albania,2009,Potato,21.977999,0.59,12.69,21.01104291,1534.6018,0.34
Albania,2009,Soybean,1.6667,0.59,12.69,21.01104291,1534.6018,0.34
Albania,2009,Wheat,4.0229,0.59,12.69,21.01104291,1534.6018,0.34
Albania,2009,Rice,0,0.59,12.69,21.01104291,1534.6018,0.34
Albania,2010,Corn,6.679,0.85,12.6,20.81411047,1938.1714,0.34
Albania,2010,Cassava,0,0.85,12.6,20.81411047,1938.1714,0.34
Albania,2010,Potato,23.1111,0.85,12.6,20.81411047,1938.1714,0.34
Albania,2010,Soybean,1.6667,0.85,12.6,20.81411047,1938.1714,0.34
Albania,2010,Wheat,3.9905,0.85,12.6,20.81411047,1938.1714,0.34
Albania,2010,Rice,0,0.85,12.6,20.81411047,1938.1714,0.34
Albania,2011,Corn,5.9869,0.84,12.39,22.79990425,871.21857,0.34083600000000003
Albania,2011,Cassava,0,0.84,12.39,22.79990425,871.21857,0.34083600000000003
Albania,2011,Potato,24.2211,0.84,12.39,22.79990425,871.21857,0.34083600000000003
Albania,2011,Soybean,1.8519,0.84,12.39,22.79990425,871.21857,0.34083600000000003
Albania,2011,Wheat,4.2300997,0.84,12.39,22.79990425,871.21857,0.34083600000000003
Albania,2011,Rice,0,0.84,12.39,22.79990425,871.21857,0.34083600000000003
Albania,2012,Corn,6.7289996,0.52,12.89,20.96272041,1391.6102,0.34
Albania,2012,Cassava,0,0.52,12.89,20.96272041,1391.6102,0.34
Albania,2012,Potato,25.053799,0.52,12.89,20.96272041,1391.6102,0.34
Albania,2012,Soybean,1.3333,0.52,12.89,20.96272041,1391.6102,0.34
Albania,2012,Wheat,4.1096,0.52,12.89,20.96272041,1391.6102,0.34
Albania,2012,Rice,0,0.52,12.89,20.96272041,1391.6102,0.34
Albania,2013,Corn,6.9533,0.65,12.9,19.40753225,1419.0454,0.34331599999999995
Albania,2013,Cassava,0,0.65,12.9,19.40753225,1419.0454,0.34331599999999995
Albania,2013,Potato,26.011,0.65,12.9,19.40753225,1419.0454,0.34331599999999995
Albania,2013,Soybean,1,0.65,12.9,19.40753225,1419.0454,0.34331599999999995
Albania,2013,Wheat,4.1292,0.65,12.9,19.40753225,1419.0454,0.34331599999999995
Albania,2013,Rice,0,0.65,12.9,19.40753225,1419.0454,0.34331599999999995
Albania,2014,Corn,6.9091,0.66,12.93,19.36794422,1417.2703,0.34
Albania,2014,Cassava,0,0.66,12.93,19.36794422,1417.2703,0.34
Albania,2014,Potato,25,0.66,12.93,19.36794422,1417.2703,0.34
Albania,2014,Soybean,1.6908,0.66,12.93,19.36794422,1417.2703,0.34
Albania,2014,Wheat,4.0001,0.66,12.93,19.36794422,1417.2703,0.34
Albania,2014,Rice,0,0.66,12.93,19.36794422,1417.2703,0.34
Albania,2015,Corn,6.9596996,0.77,12.87,19.12155731,1184.5548,0.34
Albania,2015,Cassava,0,0.77,12.87,19.12155731,1184.5548,0.34
Albania,2015,Potato,24.257399,0.77,12.87,19.12155731,1184.5548,0.34
Albania,2015,Soybean,2.5,0.77,12.87,19.12155731,1184.5548,0.34
Albania,2015,Wheat,3.9510999,0.77,12.87,19.12155731,1184.5548,0.34
Albania,2015,Rice,0,0.77,12.87,19.12155731,1184.5548,0.34
Albania,2016,Corn,6.4877,0.83,12.9,17.60216399,1565.3773,0.35
Albania,2016,Cassava,0,0.83,12.9,17.60216399,1565.3773,0.35
Albania,2016,Potato,24.5894,0.83,12.9,17.60216399,1565.3773,0.35
Albania,2016,Soybean,2.5152,0.83,12.9,17.60216399,1565.3773,0.35
Albania,2016,Wheat,3.8999999,0.83,12.9,17.60216399,1565.3773,0.35
Albania,2016,Rice,0,0.83,12.9,17.60216399,1565.3773,0.35
Albania,2017,Corn,6.5632,0.88,12.75,18.55524382,1175.3209,0.35
Albania,2017,Cassava,0,0.88,12.75,18.55524382,1175.3209,0.35
Albania,2017,Potato,25.111,0.88,12.75,18.55524382,1175.3209,0.35
Albania,2017,Soybean,2.2026,0.88,12.75,18.55524382,1175.3209,0.35
Albania,2017,Wheat,4.0367,0.88,12.75,18.55524382,1175.3209,0.35
Albania,2017,Rice,0,0.88,12.75,18.55524382,1175.3209,0.35
Albania,2018,Corn,7.2272997,0.64,13.43,19.04618623,1559.2733,0.34110199999999996
Albania,2018,Cassava,0,0.64,13.43,19.04618623,1559.2733,0.34110199999999996
Albania,2018,Potato,26.1714,0.64,13.43,19.04618623,1559.2733,0.34110199999999996
Albania,2018,Soybean,2.9406998,0.64,13.43,19.04618623,1559.2733,0.34110199999999996
Albania,2018,Wheat,3.6927,0.64,13.43,19.04618623,1559.2733,0.34110199999999996
Albania,2018,Rice,0,0.64,13.43,19.04618623,1559.2733,0.34110199999999996
Albania,2019,Corn,7.0529,1.05,13.33,15.70470712,1282.0195,0.35
Albania,2019,Cassava,0,1.05,13.33,15.70470712,1282.0195,0.35
Albania,2019,Potato,25.6455,1.05,13.33,15.70470712,1282.0195,0.35
Albania,2019,Soybean,2.7626,1.05,13.33,15.70470712,1282.0195,0.35
Albania,2019,Wheat,4.068,1.05,13.33,15.70470712,1282.0195,0.35
Albania,2019,Rice,0,1.05,13.33,15.70470712,1282.0195,0.35
Albania,2020,Corn,7.0358996,1.1,13.07,15.70700364,1159.1439,0.00
Albania,2020,Cassava,0,1.1,13.07,15.70700364,1159.1439,0.00
Albania,2020,Potato,26.274199,1.1,13.07,15.70700364,1159.1439,0.00
Albania,2020,Soybean,2.5788999,1.1,13.07,15.70700364,1159.1439,0.00
Albania,2020,Wheat,4.3271,1.1,13.07,15.70700364,1159.1439,0.00
Albania,2020,Rice,0,1.1,13.07,15.70700364,1159.1439,0.00
Algeria,1990,Corn,1.65,0.75,23.58,22.35936995,82.725784,0.33899599999999996
Algeria,1990,Cassava,0,0.75,23.58,22.35936995,82.725784,0.33899599999999996
Algeria,1990,Potato,7.8936,0.75,23.58,22.35936995,82.725784,0.33899599999999996
Algeria,1990,Soybean,0,0.75,23.58,22.35936995,82.725784,0.33899599999999996
Algeria,1990,Wheat,0.6315,0.75,23.58,22.35936995,82.725784,0.33899599999999996
Algeria,1990,Rice,2.8,0.75,23.58,22.35936995,82.725784,0.33899599999999996
Algeria,1991,Corn,1.9231,0.91,22.79,22.73088781,78.73807,0.34562200000000004
Algeria,1991,Cassava,0,0.91,22.79,22.73088781,78.73807,0.34562200000000004
Algeria,1991,Potato,9.074699,0.91,22.79,22.73088781,78.73807,0.34562200000000004
Algeria,1991,Soybean,0,0.91,22.79,22.73088781,78.73807,0.34562200000000004
Algeria,1991,Wheat,1.0809,0.91,22.79,22.73088781,78.73807,0.34562200000000004
Algeria,1991,Rice,2.6785998,0.91,22.79,22.73088781,78.73807,0.34562200000000004
Algeria,1992,Corn,2.2828,0.48,22.77,23.1553408,68.25461,0.31
Algeria,1992,Cassava,0,0.48,22.77,23.1553408,68.25461,0.31
Algeria,1992,Potato,10.791699,0.48,22.77,23.1553408,68.25461,0.31
Algeria,1992,Soybean,0,0.48,22.77,23.1553408,68.25461,0.31
Algeria,1992,Wheat,0.9939,0.48,22.77,23.1553408,68.25461,0.31
Algeria,1992,Rice,2.4738998,0.48,22.77,23.1553408,68.25461,0.31
Algeria,1993,Corn,1.25,0.46,23.06,23.62641851,56.390423,0.32
Algeria,1993,Cassava,0,0.46,23.06,23.62641851,56.390423,0.32
Algeria,1993,Potato,11.1215,0.46,23.06,23.62641851,56.390423,0.32
Algeria,1993,Soybean,0,0.46,23.06,23.62641851,56.390423,0.32
Algeria,1993,Wheat,0.80969995,0.46,23.06,23.62641851,56.390423,0.32
Algeria,1993,Rice,2.3121,0.46,23.06,23.62641851,56.390423,0.32
Algeria,1994,Corn,0.45119998,0.51,23.43,24.13781054,79.09136,0.31
Algeria,1994,Cassava,0,0.51,23.43,24.13781054,79.09136,0.31
Algeria,1994,Potato,9.5078,0.51,23.43,24.13781054,79.09136,0.31
Algeria,1994,Soybean,0,0.51,23.43,24.13781054,79.09136,0.31
Algeria,1994,Wheat,0.7999,0.51,23.43,24.13781054,79.09136,0.31
Algeria,1994,Rice,2.1387,0.51,23.43,24.13781054,79.09136,0.31
Algeria,1995,Corn,1.6114999,0.78,23.56,24.68320649,66.04173,0.30
Algeria,1995,Cassava,0,0.78,23.56,24.68320649,66.04173,0.30
Algeria,1995,Potato,13.6768,0.78,23.56,24.68320649,66.04173,0.30
Algeria,1995,Soybean,0,0.78,23.56,24.68320649,66.04173,0.30
Algeria,1995,Wheat,0.89239997,0.78,23.56,24.68320649,66.04173,0.30
Algeria,1995,Rice,1.9614999,0.78,23.56,24.68320649,66.04173,0.30
Algeria,1996,Corn,1.7154,0.27,23.3,25.41090842,87.57355,0.31
Algeria,1996,Cassava,0,0.27,23.3,25.41090842,87.57355,0.31
Algeria,1996,Potato,13.462899,0.27,23.3,25.41090842,87.57355,0.31
Algeria,1996,Soybean,0,0.27,23.3,25.41090842,87.57355,0.31
Algeria,1996,Wheat,1.309,0.27,23.3,25.41090842,87.57355,0.31
Algeria,1996,Rice,1.7881,0.27,23.3,25.41090842,87.57355,0.31
Algeria,1997,Corn,2.1417,0.22,23.67,26.335955,67.35085,0.30558199999999996
Algeria,1997,Cassava,0,0.22,23.67,26.335955,67.35085,0.30558199999999996
Algeria,1997,Potato,14.104199,0.22,23.67,26.335955,67.35085,0.30558199999999996
Algeria,1997,Soybean,0,0.22,23.67,26.335955,67.35085,0.30558199999999996
Algeria,1997,Wheat,0.8016,0.22,23.67,26.335955,67.35085,0.30558199999999996
Algeria,1997,Rice,1.5,0.22,23.67,26.335955,67.35085,0.30558199999999996
Algeria,1998,Corn,1.7221999,0.18,23.48,27.25214078,53.86391,0.30
Algeria,1998,Cassava,0,0.18,23.48,27.25214078,53.86391,0.30
Algeria,1998,Potato,16.0256,0.18,23.48,27.25214078,53.86391,0.30
Algeria,1998,Soybean,0,0.18,23.48,27.25214078,53.86391,0.30
Algeria,1998,Wheat,0.8847,0.18,23.48,27.25214078,53.86391,0.30
Algeria,1998,Rice,1.5031999,0.18,23.48,27.25214078,53.86391,0.30
Algeria,1999,Corn,2.2375,0.27,23.66,27.95326031,74.240456,0.31
Algeria,1999,Cassava,0,0.27,23.66,27.95326031,74.240456,0.31
Algeria,1999,Potato,15.3532,0.27,23.66,27.95326031,74.240456,0.31
Algeria,1999,Soybean,0,0.27,23.66,27.95326031,74.240456,0.31
Algeria,1999,Wheat,1.0711,0.27,23.66,27.95326031,74.240456,0.31
Algeria,1999,Rice,1.3982999,0.27,23.66,27.95326031,74.240456,0.31
Algeria,2000,Corn,3.6186,0.31,23.57,28.23310812,40.600086,0.31
Algeria,2000,Cassava,0,0.31,23.57,28.23310812,40.600086,0.31
Algeria,2000,Potato,16.6143,0.31,23.57,28.23310812,40.600086,0.31
Algeria,2000,Soybean,0,0.31,23.57,28.23310812,40.600086,0.31
Algeria,2000,Wheat,0.9194,0.31,23.57,28.23310812,40.600086,0.31
Algeria,2000,Rice,1.3101,0.31,23.57,28.23310812,40.600086,0.31
Algeria,2001,Corn,2.7175,0.35,23.83,28.13193067,44.693207,0.31
Algeria,2001,Cassava,0,0.35,23.83,28.13193067,44.693207,0.31
Algeria,2001,Potato,14.701799,0.35,23.83,28.13193067,44.693207,0.31
Algeria,2001,Soybean,0,0.35,23.83,28.13193067,44.693207,0.31
Algeria,2001,Wheat,1.1104,0.35,23.83,28.13193067,44.693207,0.31
Algeria,2001,Rice,1.2371,0.35,23.83,28.13193067,44.693207,0.31
Algeria,2002,Corn,3.3479998,0.38,23.72,27.8679443,56.14827,0.31
Algeria,2002,Cassava,0,0.38,23.72,27.8679443,56.14827,0.31
Algeria,2002,Potato,18.3774,0.38,23.72,27.8679443,56.14827,0.31
Algeria,2002,Soybean,0,0.38,23.72,27.8679443,56.14827,0.31
Algeria,2002,Wheat,1.0739,0.38,23.72,27.8679443,56.14827,0.31
Algeria,2002,Rice,1.305,0.38,23.72,27.8679443,56.14827,0.31
Algeria,2003,Corn,2.8853,0.42,23.84,27.50189844,86.49304,0.29
Algeria,2003,Cassava,0,0.42,23.84,27.50189844,86.49304,0.29
Algeria,2003,Potato,21.2037,0.42,23.84,27.50189844,86.49304,0.29
Algeria,2003,Soybean,0,0.42,23.84,27.50189844,86.49304,0.29
Algeria,2003,Wheat,1.448,0.42,23.84,27.50189844,86.49304,0.29
Algeria,2003,Rice,1.2888,0.42,23.84,27.50189844,86.49304,0.29
Algeria,2004,Corn,3.1729,0.45,23.56,27.09454247,86.66942,0.28320100000000004
Algeria,2004,Cassava,0,0.45,23.56,27.09454247,86.66942,0.28320100000000004
Algeria,2004,Potato,20.3585,0.45,23.56,27.09454247,86.66942,0.28320100000000004
Algeria,2004,Soybean,0,0.45,23.56,27.09454247,86.66942,0.28320100000000004
Algeria,2004,Wheat,1.3582,0.45,23.56,27.09454247,86.66942,0.28320100000000004
Algeria,2004,Rice,1.2890999,0.45,23.56,27.09454247,86.66942,0.28320100000000004
Algeria,2005,Corn,3.3864,0.34,23.58,26.70662581,66.49743,0.28
Algeria,2005,Cassava,0,0.34,23.58,26.70662581,66.49743,0.28
Algeria,2005,Potato,21.6267,0.34,23.58,26.70662581,66.49743,0.28
Algeria,2005,Soybean,0,0.34,23.58,26.70662581,66.49743,0.28
Algeria,2005,Wheat,1.5057,0.34,23.58,26.70662581,66.49743,0.28
Algeria,2005,Rice,1.3053,0.34,23.58,26.70662581,66.49743,0.28
Algeria,2006,Corn,6.5667996,0.3,23.74,26.33557009,82.4783,0.29
Algeria,2006,Cassava,0,0.3,23.74,26.33557009,82.4783,0.29
Algeria,2006,Potato,22.0689,0.3,23.74,26.33557009,82.4783,0.29
Algeria,2006,Soybean,0,0.3,23.74,26.33557009,82.4783,0.29
Algeria,2006,Wheat,1.5067999,0.3,23.74,26.33557009,82.4783,0.29
Algeria,2006,Rice,1.2803999,0.3,23.74,26.33557009,82.4783,0.29
Algeria,2007,Corn,8.5625,0.42,23.58,25.93054224,64.32391,0.28
Algeria,2007,Cassava,0,0.42,23.58,25.93054224,64.32391,0.28
Algeria,2007,Potato,18.992699,0.42,23.58,25.93054224,64.32391,0.28
Algeria,2007,Soybean,0,0.42,23.58,25.93054224,64.32391,0.28
Algeria,2007,Wheat,1.2742,0.42,23.58,25.93054224,64.32391,0.28
Algeria,2007,Rice,1.3406999,0.42,23.58,25.93054224,64.32391,0.28
Algeria,2008,Corn,4.4714,0.68,23.43,25.47990961,77.30029,0.28
Algeria,2008,Cassava,0,0.68,23.43,25.47990961,77.30029,0.28
Algeria,2008,Potato,23.6393,0.68,23.43,25.47990961,77.30029,0.28
Algeria,2008,Soybean,0,0.68,23.43,25.47990961,77.30029,0.28
Algeria,2008,Wheat,1.1037999,0.68,23.43,25.47990961,77.30029,0.28
Algeria,2008,Rice,1.3979,0.68,23.43,25.47990961,77.30029,0.28
Algeria,2009,Corn,3.0914,0.38,23.87,24.97203955,87.21048,0.28
Algeria,2009,Cassava,0,0.38,23.87,24.97203955,87.21048,0.28
Algeria,2009,Potato,25.076399,0.38,23.87,24.97203955,87.21048,0.28
Algeria,2009,Soybean,0,0.38,23.87,24.97203955,87.21048,0.28
Algeria,2009,Wheat,1.5975,0.38,23.87,24.97203955,87.21048,0.28
Algeria,2009,Rice,1.4614999,0.38,23.87,24.97203955,87.21048,0.28
Algeria,2010,Corn,2.5827,0.22,24.09,24.39529939,64.77627,0.28
Algeria,2010,Cassava,0,0.22,24.09,24.39529939,64.77627,0.28
Algeria,2010,Potato,27.052599,0.22,24.09,24.39529939,64.77627,0.28
Algeria,2010,Soybean,0,0.22,24.09,24.39529939,64.77627,0.28
Algeria,2010,Wheat,1.4837999,0.22,24.09,24.39529939,64.77627,0.28
Algeria,2010,Rice,1.532,0.22,24.09,24.39529939,64.77627,0.28
Algeria,2011,Corn,2.3374,0.9,23.78,23.57210779,82.46702,0.29
Algeria,2011,Cassava,0,0.9,23.78,23.57210779,82.46702,0.29
Algeria,2011,Potato,29.2806,0.9,23.78,23.57210779,82.46702,0.29
Algeria,2011,Soybean,0,0.9,23.78,23.57210779,82.46702,0.29
Algeria,2011,Wheat,1.7405,0.9,23.78,23.57210779,82.46702,0.29
Algeria,2011,Rice,1.6089,0.9,23.78,23.57210779,82.46702,0.29
Algeria,2012,Corn,2.5583,1.07,23.74,24.39681643,73.921036,0.28
Algeria,2012,Cassava,0,1.07,23.74,24.39681643,73.921036,0.28
Algeria,2012,Potato,30.4291,1.07,23.74,24.39681643,73.921036,0.28
Algeria,2012,Soybean,0,1.07,23.74,24.39681643,73.921036,0.28
Algeria,2012,Wheat,1.7638999,1.07,23.74,24.39681643,73.921036,0.28
Algeria,2012,Rice,1.6667,1.07,23.74,24.39681643,73.921036,0.28
Algeria,2013,Corn,3.3648999,0.98,23.48,22.38026402,67.78823,0.27122700000000005
Algeria,2013,Cassava,0,0.98,23.48,22.38026402,67.78823,0.27122700000000005
Algeria,2013,Potato,30.321798,0.98,23.48,22.38026402,67.78823,0.27122700000000005
Algeria,2013,Soybean,0,0.98,23.48,22.38026402,67.78823,0.27122700000000005
Algeria,2013,Wheat,1.91,0.98,23.48,22.38026402,67.78823,0.27122700000000005
Algeria,2013,Rice,1.7778,0.98,23.48,22.38026402,67.78823,0.27122700000000005
Algeria,2014,Corn,2.6165,0.85,23.92,24.11112295,73.53466,0.27
Algeria,2014,Cassava,0,0.85,23.92,24.11112295,73.53466,0.27
Algeria,2014,Potato,29.9247,0.85,23.92,24.11112295,73.53466,0.27
Algeria,2014,Soybean,0,0.85,23.92,24.11112295,73.53466,0.27
Algeria,2014,Wheat,1.4753,0.85,23.92,24.11112295,73.53466,0.27
Algeria,2014,Rice,1.7778,0.85,23.92,24.11112295,73.53466,0.27
Algeria,2015,Corn,3.9241998,0.53,23.79,25.61886583,70.86002,0.27758299999999997
Algeria,2015,Cassava,0,0.53,23.79,25.61886583,70.86002,0.27758299999999997
Algeria,2015,Potato,29.6099,0.53,23.79,25.61886583,70.86002,0.27758299999999997
Algeria,2015,Soybean,0,0.53,23.79,25.61886583,70.86002,0.27758299999999997
Algeria,2015,Wheat,1.464,0.53,23.79,25.61886583,70.86002,0.27758299999999997
Algeria,2015,Rice,1.7939,0.53,23.79,25.61886583,70.86002,0.27758299999999997
